match_id,innings,over_num,opponent,runs_so_far,wickets_so_far,current_run_rate,since_last_wicket_runs,runs_in_over,wickets_in_over,collapse,runs_last_5_overs_over
64831,1,1,Australia,1,0,0.0,0,5,0,0,5
64831,1,2,Australia,7,0,2.727272727,5,4,0,0,9
64831,1,3,Australia,11,0,2.823529412,8,4,0,0,13
64831,1,4,Australia,15,0,2.454545455,9,3,0,0,16
64831,1,5,Australia,16,0,1.8,9,0,0,0,16
64831,1,6,Australia,17,0,1.666666667,10,1,0,0,12
64831,1,7,Australia,20,0,1.756097561,12,3,0,0,11
64831,1,8,Australia,22,0,1.75,14,2,0,0,9
64831,1,9,Australia,24,0,1.777777778,16,2,0,0,8
64831,1,10,Australia,24,0,1.6,16,0,0,0,8
64831,1,11,Australia,24,0,1.454545455,16,0,0,0,7
64831,1,12,Australia,30,0,1.774647887,21,6,0,0,10
64831,1,13,Australia,31,0,1.636363636,21,2,0,0,10
64831,1,14,Australia,37,0,1.807228916,25,5,1,0,13
64831,1,15,Australia,43,1,2.02247191,5,7,0,0,20
64831,1,16,Australia,46,1,2.0625,8,2,0,0,22
64831,1,17,Australia,47,2,2.0,1,1,1,0,17
64831,1,18,Australia,50,2,2.055555556,4,3,0,0,18
64831,1,19,Australia,51,2,1.96460177,4,1,0,0,14
64831,1,20,Australia,52,3,1.9,0,1,1,1,8
64831,1,21,Australia,57,3,2.047619048,5,5,0,1,11
64831,1,22,Australia,60,3,2.090909091,8,3,0,1,13
64831,1,23,Australia,64,3,2.173913043,12,4,0,1,14
64831,1,24,Australia,68,3,2.25,16,4,0,1,17
64831,1,25,Australia,74,3,2.351351351,20,8,0,1,24
64831,1,26,Australia,77,3,2.346153846,23,1,0,1,20
64831,1,27,Australia,78,3,2.296296296,24,1,0,1,18
64831,1,28,Australia,82,3,2.357142857,28,4,0,1,18
64831,1,29,Australia,84,3,2.344827586,30,2,0,1,16
64831,1,30,Australia,85,4,2.3,1,1,1,1,9
64831,1,31,Australia,86,4,2.258064516,2,1,0,1,9
64831,1,32,Australia,91,5,2.34375,5,5,1,1,13
64831,1,33,Australia,97,5,2.454545455,11,6,0,1,15
64831,1,34,Australia,101,5,2.5,15,4,0,1,17
64831,1,35,Australia,105,6,2.542857143,4,4,1,1,20
64831,1,36,Australia,109,6,2.56744186,7,5,0,1,24
64831,1,37,Australia,115,6,2.648648649,13,5,0,1,24
64831,1,38,Australia,119,6,2.684210526,17,4,0,1,22
64831,1,39,Australia,121,7,2.666666667,0,2,1,1,20
64831,1,40,Australia,127,7,2.75,6,6,0,1,22
64831,1,41,Australia,133,7,2.829268293,12,6,0,1,23
64831,1,42,Australia,136,8,2.833333333,3,3,1,1,21
64831,1,43,Australia,143,8,2.930232558,10,7,0,1,24
64831,1,44,Australia,145,9,2.897338403,0,3,1,1,25
64831,1,45,Australia,147,9,2.866666667,2,1,0,1,20
64831,1,46,Australia,147,10,2.856088561,0,0,1,1,14
64837,2,1,Pakistan,1,0,0.0,0,6,0,0,6
64837,2,2,Pakistan,6,0,2.0,4,0,0,0,6
64837,2,3,Pakistan,12,0,3.0,8,6,0,0,12
64837,2,4,Pakistan,18,0,3.5,14,6,0,0,18
64837,2,5,Pakistan,27,0,4.6,23,9,0,0,27
64837,2,6,Pakistan,32,0,4.666666667,28,5,0,0,26
64837,2,7,Pakistan,33,0,4.142857143,29,1,0,0,27
64837,2,8,Pakistan,34,0,3.75,30,1,0,0,22
64837,2,9,Pakistan,37,0,3.666666667,33,3,0,0,19
64837,2,10,Pakistan,43,0,3.86440678,38,6,1,0,16
64837,2,11,Pakistan,44,1,3.545454545,1,1,0,0,12
64837,2,12,Pakistan,49,1,3.666666667,6,5,0,0,16
64837,2,13,Pakistan,52,1,3.615384615,9,3,0,0,18
64837,2,14,Pakistan,55,1,3.571428571,12,3,0,0,18
64837,2,15,Pakistan,57,1,3.438202247,13,2,0,0,14
64837,2,16,Pakistan,59,1,3.284210526,14,3,0,0,16
64837,2,17,Pakistan,62,1,3.235294118,17,2,0,0,13
64837,2,18,Pakistan,67,1,3.252336449,20,6,0,0,16
